GENEID	R1_H1975.bam	R2_H1975.bam	R3_H1975.bam	R1_HCC827.bam	R2_HCC827.bam	R3_HCC827.bam
ENSG00000006576	183	167	152	62.99999	45	79
ENSG00000006606	177	166	150	250	205	206
ENSG00000006607	130	147	130.99999	185.00001	227	100
ENSG00000006611	10	4.99999	6	93	132	121
ENSG00000006625	3842.99999	3447.99999	3408	2130	1290.00001	1768.99999
ENSG00000006634	416.00001	415	411	143	141.99999	137
ENSG00000006638	33	36	35	6	0	5
ENSG00000006652	1148.00001	1500.00001	1390.00001	558.99999	273	564
ENSG00000006695	402	344	375.99999	306	255.99999	267
ENSG00000006704	207	194	227.00001	217	294	155
ENSG00000006712	388	355	337	979	1065	1000
ENSG00000006715	1089	1275.00001	1204	601	573	344
ENSG00000006740	21	26	32	16.99999	15	7
ENSG00000006744	596.00001	666.99999	560	704	1173	681.99999
ENSG00000006747	113.99999	121	99	46	34	20
ENSG00000006756	547	493	471	1184.99999	1563	794
ENSG00000006757	1315	1246	1248.99999	2001	1125	1783
ENSG00000006788	1	0	2	0	0	0
ENSG00000006831	371	342	292	400	395	295
ENSG00000006837	72	54	76.99998	15	6	15
ENSG00000007001	0	4	3	2	0	0
ENSG00000007038	1476.99999	1419.99999	1333	2505.99999	2257	2452
ENSG00000007047	53	34	47	219	361	172
ENSG00000007062	0	0	0	0	0	1
ENSG00000007080	222	152	213	603.99999	813.99999	413.00001
ENSG00000007168	1180.00001	1385.00001	1139	1012.99999	1137	822.00002
ENSG00000007174	0	0	4	0	0	0
ENSG00000007202	304	358.00001	369	343.00001	660	246
ENSG00000007216	0	0	0	0	0	1
ENSG00000007237	4	7.00001	7	0	2	0
ENSG00000007255	458.99999	434	442	683	780	599
ENSG00000007264	2	3	6	4	7	0
ENSG00000007306	2	0	1	7	0	6
ENSG00000007312	0	1	0	2	0	0
ENSG00000007314	11	7	5	0	0	0
ENSG00000007341	257	276	275.00002	319	233.00001	242.00001
ENSG00000007350	1	0	1	0	0	0
ENSG00000007372	0	0	0	5	0	2
ENSG00000007376	72	60	78	169	316	122
ENSG00000007384	91	55	68	76	140	52
ENSG00000007392	708.99999	605	641.99999	553	456.00001	476.99999
ENSG00000007402	4	11.00002	10	21	4.00002	10
ENSG00000007516	279.99997	124.99998	178.99998	416.99996	594.99996	274.99997
ENSG00000007520	301	244	311	364	692	234
ENSG00000007541	39	31	60.00001	54	157	39
ENSG00000007545	52	63	80	56	94	25
ENSG00000007866	142	132	116	184	251	150
ENSG00000007923	523.00001	481.00001	445.99999	531.00002	601.99999	483
ENSG00000007944	105	103.00001	76	93	98	76
ENSG00000007968	21	16	10	37	48	26
ENSG00000008018	7706	7323	6622	7626	5191	6272
ENSG00000008056	17	25	12	1	1	0
ENSG00000008083	145	120	102	86	109	31
ENSG00000008086	34	31	25	26	21	10
ENSG00000008118	1	0	0	0.99999	0	1
ENSG00000008128	839.00001	595	637.00001	545	599	283.99999
ENSG00000008130	254	238	265	242.99999	356	222
ENSG00000008226	9	12	11	9	8	6
ENSG00000008256	155	178	170	147	151	113
ENSG00000008277	2	0	0	10	6	6
ENSG00000008282	1083	953	936	433	228	313
ENSG00000008283	1461.99999	1281	1279.00001	1114	1156	901.00001
ENSG00000008294	208.99999	181.99999	198.00001	105.99999	122	74
ENSG00000008300	128	89	98	46	39	37
ENSG00000008311	14.00001	8.00001	6	3	4.99999	3
ENSG00000008323	23	26	21	137.00001	188	106.99999
ENSG00000008324	1719	1420	1488	908	735	921
ENSG00000008382	105	78.00001	94	294	608	235
ENSG00000008394	611.00001	578.99999	590	745.00001	317	433
ENSG00000008405	43	56	44	21	2	17
ENSG00000008441	389	278.00001	288	19	21	15
ENSG00000008513	362	271	253	886	767	820
ENSG00000008516	1	6	9	2	2	1
ENSG00000008517	536	533.99997	552	81	66	62
ENSG00000008710	16	24	10	18	20	10
ENSG00000008735	65	66	85	86	135	58
ENSG00000008838	444.00001	347.00001	394	681	967.00001	560
ENSG00000008853	153	139	135	266.99998	354	242
ENSG00000008869	34	47	42	35	21	16
ENSG00000008952	3898	2925.00001	3593.99999	2055	1535	1250.99999
ENSG00000008988	70322	54296.00001	52749.00001	64042	34624.99998	42831
ENSG00000009307	1093	1031.99999	1016.00002	1676	1184.99999	1227.99998
ENSG00000009335	333	254	316	166	178	133
ENSG00000009413	10	20	19	7	8	5
ENSG00000009694	2	0	0	3	2	2
ENSG00000009724	9	2	9	1	5	0
ENSG00000009765	1	1	0	17.00001	7	7
ENSG00000009780	38	33	30	33	43	23
ENSG00000009830	218.99999	230	234.99999	144.99999	184.99999	131
ENSG00000009844	159	156	110	100	54	88
ENSG00000009950	20.00001	24.99999	20	14	17	11.00001
ENSG00000009954	1926	1367	1712	949	833	506
ENSG00000010017	14	12	9	7	4	11
ENSG00000010030	79.00001	71.00001	75	20	6	18
ENSG00000010072	209	215.00001	216.00001	41	40	27
ENSG00000010165	300.00001	310	296	426.00001	380	369.00001
ENSG00000010219	502	440.99999	464	486	250	401
ENSG00000010244	1960	2094	1999.00001	1558	895.00001	1480
ENSG00000010256	7616.99999	7656.00001	7258.00001	7339.00001	8429	8149.99999
ENSG00000010270	1146	1143	1024	444	161	409
ENSG00000010278	7896	6804.99999	6719.00001	8090.00001	3841.00001	6914
ENSG00000010292	418.00001	382	382.00001	964	1607	844
ENSG00000010295	19	25.99999	14.99999	46	43	31
ENSG00000010310	34	43	33	10	6	13
ENSG00000010318	86	94.99999	64.99999	31	26	19
